"agency","site_no","Date","HydrologicEvent","CharacteristicName","SampleFraction","Units","value","month","agency_cd","Discharge","D.Approval.Code","Gage.Height","GH.Approval.Code","Location"
"21NC01WQ","J1330000",1981-12-08,NA,"Temperature, water"," ","deg C",12,"Dec",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-01-28,NA,"Temperature, water"," ","deg C",0,"Jan",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-02-18,NA,"Temperature, water"," ","deg C",9,"Feb",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-03-04,NA,"Temperature, water"," ","deg C",9,"Mar",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-04-22,NA,"Temperature, water"," ","deg C",14,"Apr",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-05-18,NA,"Temperature, water"," ","deg C",21,"May",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-06-11,NA,"Temperature, water"," ","deg C",20,"Jun",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-07-12,NA,"Temperature, water"," ","deg C",25,"Jul",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-08-11,NA,"Temperature, water"," ","deg C",24,"Aug",NA,NA,NA,NA,NA,"Downstream"
"21NC01WQ","J1330000",1982-09-15,NA,"Temperature, water"," ","deg C",23,"Sep",NA,NA,NA,NA,NA,"Downstream"
