"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","0208675010",2010-01-13,1.65,"A"
"USGS","0208675010",2010-01-14,1.56,"A"
"USGS","0208675010",2010-01-15,1.52,"A"
"USGS","0208675010",2010-01-16,1.5,"A"
"USGS","0208675010",2010-01-17,111,"A"
"USGS","0208675010",2010-01-18,14.9,"A"
"USGS","0208675010",2010-01-19,5.22,"A"
"USGS","0208675010",2010-01-20,3.95,"A"
"USGS","0208675010",2010-01-21,24.3,"A"
"USGS","0208675010",2010-01-22,34.7,"A"
"USGS","0208675010",2010-01-23,5.99,"A"
"USGS","0208675010",2010-01-24,4.45,"A"
"USGS","0208675010",2010-01-25,137,"A e"
"USGS","0208675010",2010-01-26,7.59,"A"
"USGS","0208675010",2010-01-27,4.19,"A"
"USGS","0208675010",2010-01-28,3.83,"A"
"USGS","0208675010",2010-01-29,3.52,"A"
"USGS","0208675010",2010-01-30,4.71,"A"
"USGS","0208675010",2010-01-31,5.1,"A"
"USGS","0208675010",2010-02-01,6.93,"A"
"USGS","0208675010",2010-02-02,23.2,"A"
"USGS","0208675010",2010-02-03,62.6,"A"
"USGS","0208675010",2010-02-04,11.8,"A"
